Position: [0.2679961169406429, 0.15890230281228152, 100.03973098633828], Rotation: [0.1605609, 0.16565129999999995, 6.1915501218380715], Velocity: [1.891737296051597, 1.1216633139690457, 0.6266893153290367], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.2995250718748362, 0.1775966913784323, 100.04745080826044], Rotation: [0.16948095000000002, 0.17485414999999993, 6.1915501218380715], Velocity: [1.996833812498908, 1.1839779425228816, 0.6615053884028721], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.33280563541648467, 0.19732965708714698, 100.05575089806715], Rotation: [0.17840100000000003, 0.18405699999999992, 6.1915501218380715], Velocity: [2.101930328946219, 1.2462925710767174, 0.6963214614767075], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.3678378075655883, 0.2181011999384256, 100.06463125575843], Rotation: [0.18732105000000004, 0.1932598499999999, 6.1915501218380715], Velocity: [2.20702684539353, 1.3086071996305533, 0.7311375345505429], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.4046215883221471, 0.23991131993226816, 100.07409188133427], Rotation: [0.19624110000000006, 0.20246269999999988, 6.1915501218380715], Velocity: [2.3121233618408406, 1.3709218281843891, 0.7659536076243783], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.44315697768616114, 0.26276001706867463, 100.08413277479468], Rotation: [0.20516115000000007, 0.21166554999999987, 6.1915501218380715], Velocity: [2.4172198782881513, 1.433236456738225, 0.8007696806982136], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.4834439756576303, 0.28664729134764505, 100.09475393613965], Rotation: [0.21408120000000008, 0.22086839999999985, 6.1915501218380715], Velocity: [2.522316394735462, 1.4955510852920608, 0.835585753772049], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.5254825822365546, 0.3115731427691794, 100.10595536536918], Rotation: [0.2230012500000001, 0.23007124999999984, 6.1915501218380715], Velocity: [2.627412911182773, 1.5578657138458967, 0.8704018268458844], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.5692727974229341, 0.33753757133327766, 100.11773706248329], Rotation: [0.2319213000000001, 0.23927409999999982, 6.1915501218380715], Velocity: [2.7325094276300836, 1.6201803423997325, 0.9052178999197198], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.6148146212167689, 0.36454057703993986, 100.13009902748195], Rotation: [0.24084135000000012, 0.2484769499999998, 6.1915501218380715], Velocity: [2.8376059440773944, 1.6824949709535684, 0.9400339729935552], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.6621080536180588, 0.392582159889166, 100.14304126036517], Rotation: [0.24976140000000013, 0.2576797999999998, 6.1915501218380715], Velocity: [2.942702460524705, 1.7448095995074042, 0.9748500460673906], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.7111530946268039, 0.4216623198809561, 100.15656376113296], Rotation: [0.25868145000000015, 0.2668826499999998, 6.1915501218380715], Velocity: [3.047798976972016, 1.80712422806124, 1.009666119141226], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.7619497442430041, 0.4517810570153101, 100.17066652978531], Rotation: [0.26760150000000016, 0.27608549999999976, 6.1915501218380715], Velocity: [3.1528954934193267, 1.869438856615076, 1.0444821922150613], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.8144980024666595, 0.482938371292228, 100.18534956632223], Rotation: [0.27652155000000017, 0.28528834999999975, 6.1915501218380715], Velocity: [3.2579920098666375, 1.9317534851689118, 1.0792982652888967], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.8687978692977701, 0.5151342627117098, 100.20061287074371], Rotation: [0.2854416000000002, 0.29449119999999973, 6.1915501218380715], Velocity: [3.3630885263139483, 1.9940681137227476, 1.114114338362732], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.924849344736336, 0.5483687312737556, 100.21645644304975], Rotation: [0.2943616500000002, 0.3036940499999997, 6.1915501218380715], Velocity: [3.468185042761259, 2.0563827422765835, 1.1489304114365675], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.9826524287823569, 0.5826417769783654, 100.23288028324036], Rotation: [0.3032817000000002, 0.3128968999999997, 6.1915501218380715], Velocity: [3.57328155920857, 2.1186973708304193, 1.1837464845104029], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.042207121435833, 0.6179533998255391, 100.24988439131553], Rotation: [0.3122017500000002, 0.3220997499999997, 6.1915501218380715], Velocity: [3.6783780756558806, 2.181011999384255, 1.2185625575842383], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.1035134226967644, 0.6543035998152766, 100.26746876727528], Rotation: [0.32112180000000023, 0.33130259999999967, 6.1915501218380715], Velocity: [3.7834745921031914, 2.243326627938091, 1.2533786306580736], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.166571332565151, 0.6916923769475781, 100.28563341111958], Rotation: [0.33004185000000025, 0.34050544999999965, 6.1915501218380715], Velocity: [3.888571108550502, 2.305641256491927, 1.288194703731909], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.2313808510409927, 0.7301197312224436, 100.30437832284844], Rotation: [0.33896190000000026, 0.34970829999999964, 6.1915501218380715], Velocity: [3.993667624997813, 2.3679558850457627, 1.3230107768057444], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.2979419781242896, 0.7695856626398729, 100.32370350246187], Rotation: [0.3478819500000003, 0.3589111499999996, 6.1915501218380715], Velocity: [4.098764141445124, 2.4302705135995986, 1.3578268498795798], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.3662547138150416, 0.8100901711998663, 100.34360894995986], Rotation: [0.3568020000000003, 0.3681139999999996, 6.1915501218380715], Velocity: [4.203860657892435, 2.4925851421534344, 1.3926429229534152], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [1.4363190581132488, 0.8516332569024235, 100.36409466534242], Rotation: [0.3657220500000003, 0.3773168499999996, 6.1915501218380715], Velocity: [4.308957174339747, 2.5548997707072703, 1.4274589960272506], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
