Position: [0.23122045126565693, 0.12963951766891285, 99.4179908359009], Rotation: [0.2044007999999999, 0.33777880000000016, 0.8706659182746853], Velocity: [1.2063675718208187, 0.6763800921856323, -2.6953521605170434], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.25132657746267056, 0.14091251920534006, 99.37034329989228], Rotation: [0.2129174999999999, 0.35185291666666685, 0.8706659182746853], Velocity: [1.2566328873133528, 0.7045625960267003, -2.807658500538587], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.2722704589178931, 0.15265522913911841, 99.32082399154997], Rotation: [0.2214341999999999, 0.36592703333333354, 0.8706659182746853], Velocity: [1.3068982028058869, 0.7327450998677684, -2.9199648405601306], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.2940520956313245, 0.16486764747024787, 99.26943291087397], Rotation: [0.22995089999999987, 0.38000115000000023, 0.8706659182746853], Velocity: [1.357163518298421, 0.7609276037088364, -3.032271180581674], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.3166714876029649, 0.17754977419872847, 99.21617005786428], Rotation: [0.23846759999999986, 0.3940752666666669, 0.8706659182746853], Velocity: [1.407428833790955, 0.7891101075499044, -3.144577520603218], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.34012863483281414, 0.1907016093245602, 99.16103543252089], Rotation: [0.24698429999999985, 0.4081493833333336, 0.8706659182746853], Velocity: [1.4576941492834892, 0.8172926113909724, -3.2568838606247614], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.3644235373208723, 0.20432315284774308, 99.1040290348438], Rotation: [0.25550099999999987, 0.4222235000000003, 0.8706659182746853], Velocity: [1.5079594647760233, 0.8454751152320404, -3.369190200646305], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.38955619506713934, 0.2184144047682771, 99.04515086483303], Rotation: [0.26401769999999986, 0.436297616666667, 0.8706659182746853], Velocity: [1.5582247802685574, 0.8736576190731085, -3.4814965406678486], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.4155266080716153, 0.23297536508616223, 98.98440092248858], Rotation: [0.27253439999999984, 0.4503717333333337, 0.8706659182746853], Velocity: [1.6084900957610915, 0.9018401229141765, -3.5938028806893922], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.44233477633430013, 0.24800603380139852, 98.92177920781042], Rotation: [0.28105109999999983, 0.4644458500000004, 0.8706659182746853], Velocity: [1.6587554112536256, 0.9300226267552445, -3.706109220710936], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
