Position: [0.37760446762256916, -0.03229377824721484, 99.18358040942681], Rotation: [1.2224760499999996, -0.39324784999999984, 4.393545855766076], Velocity: [2.298909161879068, -0.19662886614693198, -3.84469817063106], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.41591962032055363, -0.03557092601633037, 99.11677710658296], Rotation: [1.2734137499999996, -0.4184298666666665, 4.393545855766076], Velocity: [2.409701755148851, -0.20610588345010505, -4.001532235390949], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.45608131623970116, -0.03900602407383212, 99.04735990265978], Rotation: [1.3243514499999995, -0.4436118833333331, 4.393545855766076], Velocity: [2.520494348418634, -0.21558290075327813, -4.1583663001508375], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.49808955538001176, -0.04259907241972009, 98.97532879765727], Rotation: [1.3752891499999995, -0.46879389999999976, 4.393545855766076], Velocity: [2.6312869416884173, -0.2250599180564512, -4.3152003649107264], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.5419443377414854, -0.046350071053994274, 98.90068379157542], Rotation: [1.4262268499999995, -0.4939759166666664, 4.393545855766076], Velocity: [2.7420795349582003, -0.23453693535962428, -4.472034429670615], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.587645663324122, -0.050259019976654676, 98.82342488441424], Rotation: [1.4771645499999995, -0.519157933333333, 4.393545855766076], Velocity: [2.8528721282279834, -0.24401395266279735, -4.628868494430504], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.6351935321279217, -0.0543259191877013, 98.74355207617373], Rotation: [1.5281022499999994, -0.5443399499999997, 4.393545855766076], Velocity: [2.9636647214977665, -0.2534909699659704, -4.785702559190393], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.6845879441528845, -0.05855076868713414, 98.66106536685389], Rotation: [1.5790399499999994, -0.5695219666666663, 4.393545855766076], Velocity: [3.0744573147675496, -0.2629679872691435, -4.942536623950282], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.7358288993990103, -0.0629335684749532, 98.57596475645472], Rotation: [1.6299776499999994, -0.594703983333333, 4.393545855766076], Velocity: [3.1852499080373327, -0.2724450045723166, -5.099370688710171], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.7889163978662992, -0.06747431855115847, 98.48825024497621], Rotation: [1.6809153499999994, -0.6198859999999996, 4.393545855766076], Velocity: [3.2960425013071157, -0.28192202187548965, -5.25620475347006], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.8438504395547511, -0.07217301891574997, 98.39792183241838], Rotation: [1.7318530499999993, -0.6450680166666662, 4.393545855766076], Velocity: [3.406835094576899, -0.2913990391786627, -5.413038818229949], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.9006310244643662, -0.07702966956872769, 98.30497951878121], Rotation: [1.7827907499999993, -0.6702500333333329, 4.393545855766076], Velocity: [3.517627687846682, -0.3008760564818358, -5.569872882989838], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.9592581525951442, -0.08204427051009161, 98.20942330406471], Rotation: [1.8337284499999993, -0.6954320499999995, 4.393545855766076], Velocity: [3.628420281116465, -0.31035307378500887, -5.726706947749727], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.0197318239470854, -0.08721682173984176, 98.11125318826889], Rotation: [1.8846661499999993, -0.7206140666666662, 4.393545855766076], Velocity: [3.739212874386248, -0.31983009108818194, -5.883541012509616], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.0820520385201895, -0.09254732325797813, 98.01046917139372], Rotation: [1.9356038499999992, -0.7457960833333328, 4.393545855766076], Velocity: [3.850005467656031, -0.329307108391355, -6.040375077269505], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.1462187963144568, -0.0980357750645007, 97.90707125343923], Rotation: [1.9865415499999992, -0.7709780999999994, 4.393545855766076], Velocity: [3.960798060925814, -0.3387841256945281, -6.1972091420293935], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.212232097329887, -0.1036821771594095, 97.8010594344054], Rotation: [2.037479249999999, -0.7961601166666661, 4.393545855766076], Velocity: [4.071590654195598, -0.34826114299770117, -6.3540432067892825], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.2800919415664802, -0.10948652954270452, 97.69243371429225], Rotation: [2.088416949999999, -0.8213421333333327, 4.393545855766076], Velocity: [4.182383247465381, -0.35773816030087424, -6.510877271549171], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.3497983290242366, -0.11544883221438576, 97.58119409309977], Rotation: [2.139354649999999, -0.8465241499999994, 4.393545855766076], Velocity: [4.293175840735165, -0.3672151776040473, -6.66771133630906], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.421351259703156, -0.12156908517445321, 97.46734057082794], Rotation: [2.190292349999999, -0.871706166666666, 4.393545855766076], Velocity: [4.403968434004948, -0.3766921949072204, -6.824545401068949], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.4947507336032384, -0.12784728842290688, 97.35087314747679], Rotation: [2.241230049999999, -0.8968881833333326, 4.393545855766076], Velocity: [4.514761027274732, -0.38616921221039346, -6.981379465828838], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.5699967507244839, -0.13428344195974676, 97.23179182304631], Rotation: [2.292167749999999, -0.9220701999999993, 4.393545855766076], Velocity: [4.625553620544515, -0.39564622951356654, -7.138213530588727], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.6470893110668925, -0.14087754578497286, 97.1100965975365], Rotation: [2.343105449999999, -0.9472522166666659, 4.393545855766076], Velocity: [4.736346213814299, -0.4051232468167396, -7.295047595348616], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.726028414630464, -0.14762959989858518, 96.98578747094736], Rotation: [2.394043149999999, -0.9724342333333326, 4.393545855766076], Velocity: [4.847138807084082, -0.4146002641199127, -7.451881660108505], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
