Position: [0.0, 0.0, 99.997275], Rotation: [-0.0014897666666666665, 0.0006726833333333334, 2.5442101798786734], Velocity: [0.01317006270306235, -0.0011803645485195932, 0.1639366605072883], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.00021950104505103916, -1.9672742475326552e-05, 99.99728227767513], Rotation: [-0.002979533333333333, 0.0013453666666666667, 2.5442101798786734], Velocity: [0.0263401254061247, -0.0023607290970391864, 0.3278733210145766], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.0006585031351531175, -5.9018227425979656e-05, 100.00002183302537], Rotation: [-0.0044693, 0.00201805, 2.5442101798786734], Velocity: [0.03951018810918705, -0.0035410936455587795, 0.49180998152186495], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.001317006270306235, -0.00011803645485195931, 100.00549366605074], Rotation: [-0.005959066666666666, 0.0026907333333333334, 2.5442101798786734], Velocity: [0.0526802508122494, -0.004721458194078373, 0.6557466420291532], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.002195010450510392, -0.00019672742475326552, 100.01369777675123], Rotation: [-0.0074488333333333325, 0.003363416666666667, 2.5442101798786734], Velocity: [0.06585031351531175, -0.005901822742597966, 0.8196833025364415], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.003292515675765588, -0.0002950911371298983, 100.02463416512684], Rotation: [-0.0089386, 0.0040361, 2.5442101798786734], Velocity: [0.0790203762183741, -0.007082187291117559, 0.9836199630437298], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.0046095219460718225, -0.00041312759198185763, 100.03830283117757], Rotation: [-0.010428366666666666, 0.004708783333333333, 2.5442101798786734], Velocity: [0.09219043892143645, -0.008262551839637151, 1.1475566235510182], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.006146029261429097, -0.0005508367893091435, 100.05470377490343], Rotation: [-0.011918133333333332, 0.005381466666666667, 2.5442101798786734], Velocity: [0.10536050162449881, -0.009442916388156745, 1.3114932840583065], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.00790203762183741, -0.0007082187291117559, 100.07383699630441], Rotation: [-0.013407899999999999, 0.00605415, 2.5442101798786734], Velocity: [0.11853056432756116, -0.01062328093667634, 1.4754299445655947], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.009877547027296762, -0.0008852734113896949, 100.09570249538051], Rotation: [-0.014897666666666665, 0.006726833333333334, 2.5442101798786734], Velocity: [0.13170062703062352, -0.011803645485195934, 1.639366605072883], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
Position: [0.012072557477807154, -0.0010820008361429605, 100.12030027213173], Rotation: [-0.016387433333333333, 0.007399516666666667, 2.5442101798786734], Velocity: [0.14487068973368586, -0.012984010033715528, 1.8033032655801713], Thrust Rotation: (-0.089386, 0.040361), Thrust Magnitude: 2.004303
