Position: [0.0, 0.0, 99.997275], Rotation: [0.01964993333333333, 0.038703833333333326, 3.7494686745489885], Velocity: [0.011766058655856672, 0.028478144692626023, -0.1922879658291332], Thrust Rotation: (1.178996, 2.32223), Thrust Magnitude: 0.257912
Position: [0.0001961009775976112, 0.0004746357448771004, 99.99134520056951], Rotation: [0.03929986666666666, 0.07740766666666665, 3.7494686745489885], Velocity: [0.023532117311713344, 0.056956289385252046, -0.3845759316582664], Thrust Rotation: (1.178996, 2.32223), Thrust Magnitude: 0.257912
Position: [0.0005883029327928336, 0.0014239072346313012, 99.98221060170854], Rotation: [0.0589498, 0.11611149999999998, 3.7494686745489885], Velocity: [0.03529817596757002, 0.08543443407787807, -0.5768638974873996], Thrust Rotation: (1.178996, 2.32223), Thrust Magnitude: 0.257912
Position: [0.0011766058655856672, 0.0028478144692626025, 99.96987120341709], Rotation: [0.07859973333333332, 0.1548153333333333, 3.7494686745489885], Velocity: [0.04706423462342669, 0.11391257877050409, -0.7691518633165328], Thrust Rotation: (1.178996, 2.32223), Thrust Magnitude: 0.257912
Position: [0.001961009775976112, 0.004746357448771004, 99.95432700569515], Rotation: [0.09825924999999999, 0.12314564999999997, 3.7494686745489885], Velocity: [-0.0003138966358030709, -0.0009468374776714639, -0.9751242231332724], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [0.0019557781653793942, 0.004730576824143146, 99.93534993530959], Rotation: [0.11791876666666666, 0.09147596666666663, 3.7494686745489885], Velocity: [-0.04769202789503283, -0.11580625372584702, -1.181096582950012], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [0.0011609110337955138, 0.002800472595379029, 99.91293999226042], Rotation: [0.13757828333333333, 0.0598062833333333, 3.7494686745489885], Velocity: [-0.09507015915426259, -0.23066566997402257, -1.3870689427667515], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.00042359161877552937, -0.0010439552375213473, 99.88709717654764], Rotation: [0.15723779999999998, 0.02813659999999997, 3.7494686745489885], Velocity: [-0.14244829041349236, -0.34552508622219813, -1.593041302583491], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.0027977297923337356, -0.006802706674557983, 99.85782148817125], Rotation: [0.17689731666666664, -0.0035330833333333603, 3.7494686745489885], Velocity: [-0.18982642167272212, -0.46038450247037366, -1.7990136624002306], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.005961503486879105, -0.014475781715730877, 99.82511292713124], Rotation: [0.1965568333333333, -0.03520276666666669, 3.7494686745489885], Velocity: [-0.2372045529319519, -0.5752439187185492, -2.00498602221697], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.009914912702411637, -0.02406318036104003, 99.78897149342762], Rotation: [0.21621634999999995, -0.06687245000000003, 3.7494686745489885], Velocity: [-0.28458268419118166, -0.6901033349667247, -2.2109583820337098], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.014657957438931331, -0.03556490261048544, 99.7493971870604], Rotation: [0.2358758666666666, -0.09854213333333336, 3.7494686745489885], Velocity: [-0.3319608154504114, -0.8049627512149002, -2.4169307418504493], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.02019063769643819, -0.048980948464067114, 99.70639000802956], Rotation: [0.25553538333333325, -0.1302118166666667, 3.7494686745489885], Velocity: [-0.37933894670964113, -0.9198221674630758, -2.622903101667189], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
Position: [-0.026512953474932207, -0.06431131792178504, 99.65994995633511], Rotation: [0.2751948999999999, -0.16188150000000004, 3.7494686745489885], Velocity: [-0.4267170779688709, -1.0346815837112513, -2.8288754614839284], Thrust Rotation: (1.179571, -1.900181), Thrust Magnitude: 0.803095
