Position: [0.17958924981769803, 0.002565786575556871, 99.16998654696103], Rotation: [0.005714399999999996, 0.6561420000000001, 1.5653319080837433], Velocity: [0.9369873903532067, 0.01338671256812281, -3.9892875810729325], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.1952057063235848, 0.002788898451692251, 99.10077342060981], Rotation: [0.005952499999999996, 0.6834812500000002, 1.5653319080837433], Velocity: [0.9760285316179236, 0.01394449225846126, -4.155507896950971], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.21147284851721687, 0.003021306655999939, 99.02878995566063], Rotation: [0.006190599999999996, 0.7108205000000002, 1.5653319080837433], Velocity: [1.0150696728826405, 0.014502271948799711, -4.32172821282901], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.22839067639859423, 0.003263011188479934, 98.95403615211347], Rotation: [0.0064286999999999955, 0.7381597500000002, 1.5653319080837433], Velocity: [1.0541108141473574, 0.015060051639138162, -4.487948528707048], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.24595918996771685, 0.003514012049132237, 98.87651200996835], Rotation: [0.006666799999999995, 0.7654990000000003, 1.5653319080837433], Velocity: [1.0931519554120743, 0.015617831329476613, -4.654168844585087], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.26417838922458475, 0.003774309237956847, 98.79621752922526], Rotation: [0.006914483333333329, 0.7224647333333336, 1.5653319080837433], Velocity: [1.0250707638807572, 0.014606002253778208, -4.92638391400357], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.28126290195593073, 0.0040177426088531506, 98.71138613065854], Rotation: [0.007162166666666662, 0.679430466666667, 1.5653319080837433], Velocity: [0.95698957234944, 0.013594173178079804, -5.198598983422054], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.29721272816175476, 0.004244312161821147, 98.62201781426818], Rotation: [0.007409849999999996, 0.6363962000000003, 1.5653319080837433], Velocity: [0.8889083808181228, 0.012582344102381399, -5.470814052840537], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3120278678420568, 0.004454017896860837, 98.52811258005417], Rotation: [0.007657533333333329, 0.5933619333333336, 1.5653319080837433], Velocity: [0.8208271892868056, 0.011570515026682994, -5.743029122259021], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.32570832099683694, 0.00464685981397222, 98.42967042801652], Rotation: [0.007905216666666662, 0.550327666666667, 1.5653319080837433], Velocity: [0.7527459977554884, 0.01055868595098459, -6.015244191677504], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
