Position: [0.0, 0.0, 99.997275], Rotation: [-0.0014017666666666666, 0.00041948333333333333, 5.519968791829304], Velocity: [0.007144703997713693, -0.0006023334105522171, 0.12131603475642486], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.00011907839996189489, -1.0038890175870285e-05, 99.9965719339126], Rotation: [-0.002803533333333333, 0.0008389666666666667, 5.519968791829304], Velocity: [0.014289407995427387, -0.0012046668211044343, 0.2426320695128497], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0003572351998856847, -3.0116670527610853e-05, 99.99789080173782], Rotation: [-0.0042052999999999995, 0.00125845, 5.519968791829304], Velocity: [0.021434111993141082, -0.0018070002316566513, 0.3639481042692746], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0007144703997713694, -6.023334105522171e-05, 100.00123160347565], Rotation: [-0.005607066666666666, 0.0016779333333333333, 5.519968791829304], Velocity: [0.028578815990854774, -0.0024093336422088686, 0.4852641390256994], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.001190783999618949, -0.00010038890175870284, 100.00659433912607], Rotation: [-0.007008833333333333, 0.0020974166666666667, 5.519968791829304], Velocity: [0.035723519988568465, -0.003011667052761086, 0.6065801737821243], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0017861759994284234, -0.00015058335263805426, 100.0139790086891], Rotation: [-0.008410599999999999, 0.0025169, 5.519968791829304], Velocity: [0.04286822398628216, -0.003614000463313303, 0.7278962085385491], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0025006463991997926, -0.00021081669369327598, 100.02338561216474], Rotation: [-0.009812366666666666, 0.002936383333333333, 5.519968791829304], Velocity: [0.05001292798399585, -0.00421633387386552, 0.8492122432949739], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0033341951989330565, -0.000281088924924368, 100.034814149553], Rotation: [-0.011214133333333333, 0.003355866666666666, 5.519968791829304], Velocity: [0.05715763198170954, -0.004818667284417737, 0.9705282780513987], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0042868223986282155, -0.00036140004633133027, 100.04826462085386], Rotation: [-0.0126159, 0.0037753499999999994, 5.519968791829304], Velocity: [0.06430233597942324, -0.0054210006949699545, 1.0918443128078237], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.00535852799828527, -0.00045175005791416283, 100.06373702606732], Rotation: [-0.014017666666666666, 0.0041948333333333325, 5.519968791829304], Velocity: [0.07144703997713693, -0.006023334105522172, 1.2131603475642485], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.006549311997904218, -0.0005521389596728657, 100.08123136519339], Rotation: [-0.015419433333333333, 0.004614316666666666, 5.519968791829304], Velocity: [0.07859174397485062, -0.006625667516074389, 1.3344763823206733], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.007859174397485062, -0.0006625667516074388, 100.10074763823206], Rotation: [-0.016821199999999998, 0.005033799999999999, 5.519968791829304], Velocity: [0.08573644797256431, -0.007228000926626606, 1.4557924170770982], Thrust Rotation: (-0.084106, 0.025169), Thrust Magnitude: 1.742546
Position: [0.0092881151970278, -0.0007830334337178822, 100.12228584518336], Rotation: [-0.018222666666666665, 0.006546749999999999, 5.519968791829304], Velocity: [0.09803705456592053, -0.008264779100695304, 1.4279027212611972], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.010922066106459809, -0.0009207797520628039, 100.14335922387104], Rotation: [-0.01962413333333333, 0.0080597, 5.519968791829304], Velocity: [0.11033766115927675, -0.009301557274764002, 1.4000130254452963], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.012761027125781088, -0.001075805706642204, 100.16396777429513], Rotation: [-0.0210256, 0.009572649999999999, 5.519968791829304], Velocity: [0.12263826775263297, -0.010338335448832699, 1.3721233296293953], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.014804998254991637, -0.0012481112974560822, 100.18411149645561], Rotation: [-0.022427066666666665, 0.011085599999999998, 5.519968791829304], Velocity: [0.1349388743459892, -0.011375113622901396, 1.3442336338134944], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.017053979494091456, -0.0014376965245044388, 100.20379039035251], Rotation: [-0.023828533333333332, 0.012598549999999997, 5.519968791829304], Velocity: [0.1472394809393454, -0.012411891796970094, 1.3163439379975934], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.019507970843080546, -0.0016445613877872738, 100.2230044559858], Rotation: [-0.02523, 0.014111499999999996, 5.519968791829304], Velocity: [0.15954008753270163, -0.013448669971038791, 1.2884542421816925], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.022166972301958906, -0.001868705887304587, 100.24175369335549], Rotation: [-0.026631466666666666, 0.015624449999999995, 5.519968791829304], Velocity: [0.17184069412605785, -0.014485448145107488, 1.2605645463657915], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.025030983870726536, -0.0021101300230563784, 100.26003810246159], Rotation: [-0.028032933333333333, 0.017137399999999994, 5.519968791829304], Velocity: [0.18414130071941406, -0.015522226319176186, 1.2326748505498906], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.028100005549383435, -0.0023688337950426483, 100.27785768330409], Rotation: [-0.0294344, 0.018650349999999993, 5.519968791829304], Velocity: [0.19644190731277028, -0.016559004493244885, 1.2047851547339896], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.03137403733792961, -0.0026448172032633964, 100.29521243588299], Rotation: [-0.030835866666666666, 0.02016329999999999, 5.519968791829304], Velocity: [0.2087425139061265, -0.017595782667313584, 1.1768954589180887], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
Position: [0.03485307923636505, -0.0029380802477186226, 100.3121023601983], Rotation: [-0.03223733333333333, 0.02167624999999999, 5.519968791829304], Velocity: [0.22104312049948271, -0.018632560841382283, 1.1490057631021877], Thrust Rotation: (-0.084088, 0.090777), Thrust Magnitude: 0.83285
