Position: [0.02203547140427156, -0.0018819559576050671, 100.5485445887126], Rotation: [-0.03265961666666666, 0.006517433333333331, 1.090964539897338], Velocity: [0.12019348038693582, -0.01026521431420946, 3.3339250293415255], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.024038696077387157, -0.0020530428628418914, 100.6013850058683], Rotation: [-0.034079599999999995, 0.0068007999999999975, 1.090964539897338], Velocity: [0.12541928388201998, -0.010711527980044655, 3.4788782914868093], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.026129017475420825, -0.0022315683291759688, 100.65664131072641], Rotation: [-0.03549958333333333, 0.007084166666666664, 1.090964539897338], Velocity: [0.13064508737710415, -0.01115784164587985, 3.623831553632093], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.02830643559837256, -0.0024175323566072997, 100.71431350328695], Rotation: [-0.03691956666666666, 0.0073675333333333305, 1.090964539897338], Velocity: [0.13587089087218832, -0.011604155311715044, 3.768784815777377], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.030570950446242365, -0.0026109349451358837, 100.7744015835499], Rotation: [-0.03833954999999999, 0.007650899999999997, 1.090964539897338], Velocity: [0.14109669436727248, -0.012050468977550239, 3.9137380779226607], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.03292256201903024, -0.002811776094761721, 100.83690555151529], Rotation: [-0.039759533333333326, 0.007934266666666663, 1.090964539897338], Velocity: [0.14632249786235665, -0.012496782643385433, 4.058691340067944], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.03536127031673618, -0.0030200558054848115, 100.90182540718308], Rotation: [-0.04117951666666666, 0.00821763333333333, 1.090964539897338], Velocity: [0.15154830135744082, -0.012943096309220628, 4.203644602213227], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.03788707533936019, -0.003235774077305155, 100.9691611505533], Rotation: [-0.04259949999999999, 0.008500999999999996, 1.090964539897338], Velocity: [0.156774104852525, -0.013389409975055822, 4.348597864358511], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.04049997708690228, -0.003458930910222752, 101.03891278162595], Rotation: [-0.044019483333333324, 0.008784366666666663, 1.090964539897338], Velocity: [0.16199990834760916, -0.013835723640891017, 4.493551126503794], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.043199975559362426, -0.0036895263042376024, 101.11108030040101], Rotation: [-0.04543946666666666, 0.00906773333333333, 1.090964539897338], Velocity: [0.16722571184269333, -0.014282037306726211, 4.6385043886490775], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.04598707075674065, -0.003927560259349706, 101.1856637068785], Rotation: [-0.04685944999999999, 0.009351099999999996, 1.090964539897338], Velocity: [0.1724515153377775, -0.014728350972561406, 4.783457650794361], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.04886126267903694, -0.004173032775559062, 101.2626630010584], Rotation: [-0.04827943333333332, 0.009634466666666662, 1.090964539897338], Velocity: [0.17767731883286167, -0.0151746646383966, 4.928410912939644], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0518225513262513, -0.004425943852865672, 101.34207818294072], Rotation: [-0.049699416666666656, 0.009917833333333329, 1.090964539897338], Velocity: [0.18290312232794584, -0.015620978304231795, 5.073364175084928], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.05487093669838373, -0.004686293491269536, 101.42390925252548], Rotation: [-0.05111939999999999, 0.010201199999999995, 1.090964539897338], Velocity: [0.18812892582303, -0.01606729197006699, 5.218317437230211], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.05800641879543423, -0.004954081690770652, 101.50815620981264], Rotation: [-0.05253938333333332, 0.010484566666666662, 1.090964539897338], Velocity: [0.19335472931811418, -0.016513605635902182, 5.363270699375494], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
