Position: [0.0, 0.0, 99.997275], Rotation: [0.013470366666666666, 0.010195733333333332, 4.815585820613307], Velocity: [0.041431326627458784, 0.04336708792753396, -0.07800374903704452], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.0006905221104576463, 0.0007227847987922326, 99.99324993751605], Rotation: [0.02694073333333333, 0.020391466666666663, 4.815585820613307], Velocity: [0.08286265325491757, 0.08673417585506792, -0.15600749807408903], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.002071566331372939, 0.002168354396376698, 99.98792481254816], Rotation: [0.0404111, 0.030587199999999995, 4.815585820613307], Velocity: [0.12429397988237635, 0.13010126378260187, -0.23401124711113355], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.004143132662745878, 0.004336708792753396, 99.98129962509631], Rotation: [0.05388146666666666, 0.04078293333333333, 4.815585820613307], Velocity: [0.16572530650983514, 0.17346835171013583, -0.31201499614817807], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.006905221104576463, 0.007227847987922326, 99.9733743751605], Rotation: [0.06735183333333333, 0.05097866666666666, 4.815585820613307], Velocity: [0.20715663313729393, 0.2168354396376698, -0.3900187451852226], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.010357831656864696, 0.01084177198188349, 99.96414906274074], Rotation: [0.0808222, 0.06117439999999999, 4.815585820613307], Velocity: [0.24858795976475273, 0.26020252756520373, -0.46802249422226716], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.014500964319610576, 0.015178480774636885, 99.95362368783704], Rotation: [0.09429256666666666, 0.07137013333333332, 4.815585820613307], Velocity: [0.29001928639221153, 0.3035696154927377, -0.5460262432593117], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.0193346190928141, 0.020237974366182514, 99.94179825044938], Rotation: [0.10776293333333332, 0.08156586666666665, 4.815585820613307], Velocity: [0.3314506130196703, 0.34693670342027166, -0.6240299922963563], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.02485879597647527, 0.026020252756520375, 99.92867275057777], Rotation: [0.12123329999999999, 0.09176159999999998, 4.815585820613307], Velocity: [0.3728819396471291, 0.39030379134780563, -0.7020337413334008], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.03107349497059409, 0.03252531594565047, 99.91424718822222], Rotation: [0.13470366666666667, 0.10195733333333332, 4.815585820613307], Velocity: [0.4143132662745879, 0.4336708792753396, -0.7800374903704453], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.03797871607517056, 0.0397531639335728, 99.89852156338272], Rotation: [0.14817403333333334, 0.11215306666666665, 4.815585820613307], Velocity: [0.4557445929020467, 0.47703796720287356, -0.8580412394074899], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.04557445929020467, 0.04770379672028736, 99.88149587605926], Rotation: [0.16164440000000002, 0.12234879999999998, 4.815585820613307], Velocity: [0.4971759195295055, 0.5204050551304075, -0.9360449884445344], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
Position: [0.05386072461569643, 0.05637721430579415, 99.86317012625186], Rotation: [0.1751147666666667, 0.13254453333333333, 4.815585820613307], Velocity: [0.5386072461569643, 0.5637721430579414, -1.014048737481579], Thrust Rotation: (0.808222, 0.611744), Thrust Magnitude: 0.638752
