Position: [-0.02863424135912252, 0.09725406196481842, 99.61629486327894], Rotation: [-0.4923763333333332, -0.10294455000000005, 2.039270551465683], Velocity: [-0.15618677104975917, 0.5304767016262822, -1.7510734730239652], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.031237354209951843, 0.10609534032525646, 99.5843853053952], Rotation: [-0.5137839999999999, -0.10742040000000005, 2.039270551465683], Velocity: [-0.16297750022583565, 0.5535409060448162, -1.8272071022858767], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.03395364588038244, 0.11532102209267006, 99.55120685369043], Rotation: [-0.5351916666666666, -0.11189625000000006, 2.039270551465683], Velocity: [-0.16976822940191214, 0.5766051104633502, -1.9033407315477882], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.03678311637041431, 0.12493110726705924, 99.51675950816464], Rotation: [-0.5565993333333333, -0.11637210000000006, 2.039270551465683], Velocity: [-0.17655895857798862, 0.5996693148818841, -1.9794743608096996], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.03972576568004745, 0.13492559584842398, 99.48104326881781], Rotation: [-0.578007, -0.12084795000000007, 2.039270551465683], Velocity: [-0.1833496877540651, 0.6227335193004181, -2.055607990071611], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.04278159380928187, 0.14530448783676428, 99.44405813564995], Rotation: [-0.5994146666666668, -0.12532380000000007, 2.039270551465683], Velocity: [-0.19014041693014158, 0.645797723718952, -2.1317416193335226], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.04595060075811756, 0.15606778323208015, 99.40580410866106], Rotation: [-0.6208223333333335, -0.12979965000000007, 2.039270551465683], Velocity: [-0.19693114610621806, 0.668861928137486, -2.207875248595434], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.04923278652655453, 0.1672154820343716, 99.36628118785113], Rotation: [-0.6422300000000002, -0.13427550000000008, 2.039270551465683], Velocity: [-0.20372187528229455, 0.69192613255602, -2.2840088778573455], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.05262815111459277, 0.1787475842436386, 99.32548937322018], Rotation: [-0.6636376666666669, -0.13875135000000008, 2.039270551465683], Velocity: [-0.21051260445837103, 0.7149903369745539, -2.360142507119257], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.056136694522232286, 0.19066408985988115, 99.2834286647682], Rotation: [-0.6850453333333336, -0.14322720000000008, 2.039270551465683], Velocity: [-0.2173033336344475, 0.7380545413930879, -2.4362761363811685], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.059758416749473076, 0.20296499888309927, 99.24009906249518], Rotation: [-0.706443416666667, -0.11335361666666674, 2.039270551465683], Velocity: [-0.2128181155358979, 0.7228530997177409, -2.603347300155303], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
