Position: [-124.19087370928315, 183.8910284770797, 500.41909496029496], Rotation: [-0.3907224000000001, -0.20206919999999998, 4.501213223822247], Velocity: [-647.9523845701732, 959.4314529238939, 2089.484321531974], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-134.99008011878604, 199.88155269247792, 535.2411086524945], Rotation: [-0.4070025000000001, -0.21048874999999997, 4.501213223822247], Velocity: [-674.9504005939305, 999.4077634623894, 2176.5461682624727], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-146.2392534620182, 216.5383487501844, 571.5141531235357], Rotation: [-0.4232826000000001, -0.21890829999999997, 4.501213223822247], Velocity: [-701.9484166176877, 1039.384074000885, 2263.6080149929717], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-157.93839373897967, 233.86141665019915, 609.2382283734186], Rotation: [-0.43956270000000014, -0.22732784999999997, 4.501213223822247], Velocity: [-728.946432641445, 1079.3603845393807, 2350.6698617234706], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-170.0875009496704, 251.85075639252216, 648.413334402143], Rotation: [-0.45584280000000016, -0.23574739999999997, 4.501213223822247], Velocity: [-755.9444486652022, 1119.3366950778764, 2437.7317084539695], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-182.68657509409044, 270.50636797715345, 689.0394712097092], Rotation: [-0.4721229000000002, -0.24416694999999997, 4.501213223822247], Velocity: [-782.9424646889595, 1159.313005616372, 2524.7935551844685], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-195.73561617223976, 289.82825140409295, 731.116638796117], Rotation: [-0.4884030000000002, -0.2525865, 4.501213223822247], Velocity: [-809.9404807127167, 1199.2893161548677, 2611.8554019149674], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-209.23462418411836, 309.81640667334074, 774.6448371613664], Rotation: [-0.5046831000000002, -0.26100605, 4.501213223822247], Velocity: [-836.938496736474, 1239.2656266933634, 2698.9172486454663], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-223.18359912972625, 330.4708337848968, 819.6240663054574], Rotation: [-0.5209632000000002, -0.2694256, 4.501213223822247], Velocity: [-863.9365127602313, 1279.241937231859, 2785.9790953759652], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-237.58254100906345, 351.79153273876113, 866.0543262283902], Rotation: [-0.5372433000000002, -0.27784515, 4.501213223822247], Velocity: [-890.9345287839885, 1319.2182477703548, 2873.040942106464], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-252.43144982212993, 373.7785035349337, 913.9356169301647], Rotation: [-0.5535234000000002, -0.2862647, 4.501213223822247], Velocity: [-917.9325448077458, 1359.1945583088504, 2960.102788836963], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
