Position: [0.043139397824201384, -0.05707642612477455, 99.34103919065], Rotation: [-0.3540397666666665, 0.2510906166666666, 0.5930408311288585], Velocity: [0.23530580631382572, -0.31132596068058843, -3.252468051000039], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.04706116126276515, -0.06226519213611769, 99.28410638979999], Rotation: [-0.3694327999999998, 0.26200759999999995, 0.5930408311288585], Velocity: [0.24553649354486162, -0.32486187201452704, -3.3938797053913454], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.051153436155179505, -0.06767955666969314, 99.22481672804346], Rotation: [-0.3848258333333331, 0.2729245833333333, 0.5930408311288585], Velocity: [0.25576718077589755, -0.33839778334846565, -3.5352913597826516], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.05541622250144446, -0.0733195197255009, 99.16317020538042], Rotation: [-0.4002188666666664, 0.28384156666666666, 0.5930408311288585], Velocity: [0.2659978680069335, -0.35193369468240426, -3.676703014173958], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.05984952030156002, -0.07918508130354096, 99.09916682181085], Rotation: [-0.4156118999999997, 0.29475855, 0.5930408311288585], Velocity: [0.2762285552379694, -0.3654696060163429, -3.818114668565264], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.06445332955552618, -0.08527624140381335, 99.03280657733477], Rotation: [-0.431004933333333, 0.30567553333333336, 0.5930408311288585], Velocity: [0.28645924246900534, -0.3790055173502815, -3.9595263229565703], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.06922765026334293, -0.09159300002631804, 98.96408947195216], Rotation: [-0.4463979666666663, 0.3165925166666667, 0.5930408311288585], Velocity: [0.29668992970004127, -0.3925414286842201, -4.1009379773478765], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.07417248242501029, -0.09813535717105504, 98.89301550566303], Rotation: [-0.4617909999999996, 0.32750950000000006, 0.5930408311288585], Velocity: [0.3069206169310772, -0.4060773400181587, -4.242349631739183], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.07928782604052824, -0.10490331283802434, 98.81958467846738], Rotation: [-0.4771840333333329, 0.3384264833333334, 0.5930408311288585], Velocity: [0.3171513041621131, -0.4196132513520973, -4.383761286130489], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0845736811098968, -0.11189686702722597, 98.7437969903652], Rotation: [-0.49257706666666623, 0.34934346666666677, 0.5930408311288585], Velocity: [0.32738199139314905, -0.4331491626860359, -4.525172940521795], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
