Position: [0.0, 0.0, 99.997275], Rotation: [-0.0014359499999999999, 0.0011343166666666665, 5.571891818212447], Velocity: [0.022155629748943244, -0.0019135998392348428, 0.16274295579534434], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.0003692604958157207, -3.189333065391405e-05, 99.99726238259659], Rotation: [-0.0028718999999999997, 0.002268633333333333, 5.571891818212447], Velocity: [0.04431125949788649, -0.0038271996784696857, 0.3254859115906887], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.0011077814874471622, -9.567999196174215e-05, 99.99996214778977], Rotation: [-0.004307849999999999, 0.0034029499999999996, 5.571891818212447], Velocity: [0.06646688924682972, -0.005740799517704528, 0.488228867386033], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.002215562974894324, -0.0001913599839234843, 100.00537429557954], Rotation: [-0.005743799999999999, 0.004537266666666666, 5.571891818212447], Velocity: [0.08862251899577298, -0.007654399356939371, 0.6509718231813774], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.0036926049581572067, -0.0003189333065391405, 100.0134988259659], Rotation: [-0.0071797499999999995, 0.005671583333333332, 5.571891818212447], Velocity: [0.11077814874471623, -0.009567999196174215, 0.8137147789767217], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.005538907437235811, -0.00047839995980871077, 100.02433573894884], Rotation: [-0.008615699999999999, 0.006805899999999998, 5.571891818212447], Velocity: [0.13293377849365948, -0.011481599035409058, 0.9764577347720661], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.007754470412130135, -0.0006697599437321951, 100.03788503452837], Rotation: [-0.010051649999999999, 0.007940216666666665, 5.571891818212447], Velocity: [0.15508940824260273, -0.013395198874643901, 1.1392006905674104], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.01033929388284018, -0.0008930132583095935, 100.0541467127045], Rotation: [-0.011487599999999999, 0.00907453333333333, 5.571891818212447], Velocity: [0.17724503799154598, -0.015308798713878745, 1.3019436463627547], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.013293377849365948, -0.0011481599035409059, 100.0731207734772], Rotation: [-0.012923549999999999, 0.010208849999999997, 5.571891818212447], Velocity: [0.19940066774048923, -0.017222398553113586, 1.464686602158099], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.016616722311707435, -0.0014351998794261322, 100.0948072168465], Rotation: [-0.014359499999999999, 0.011343166666666663, 5.571891818212447], Velocity: [0.22155629748943248, -0.01913599839234843, 1.6274295579534435], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
Position: [0.020309327269864643, -0.0017541331859652729, 100.1192060428124], Rotation: [-0.01579545, 0.012477483333333329, 5.571891818212447], Velocity: [0.24371192723837573, -0.021049598231583273, 1.7901725137487878], Thrust Rotation: (-0.086157, 0.068059), Thrust Magnitude: 2.0
