Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.0676983195], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.585943
Position: [0.0, 0.0, 99.993421694675], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.1353909165], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.585978
Position: [0.0, 0.0, 99.9884401794], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.2030756655], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586026
Position: [0.0, 0.0, 99.982330584975], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.2707499505], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.58609
Position: [0.0, 0.0, 99.9750930858], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.3384118095], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586166
Position: [0.0, 0.0, 99.966727888975], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.406058463], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586259
Position: [0.0, 0.0, 99.957235247925], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.47368827599999996], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586362
Position: [0.0, 0.0, 99.946615443325], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.5412986325], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586481
Position: [0.0, 0.0, 99.93486879945], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.6088869164999999], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586616
Position: [0.0, 0.0, 99.921995684175], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.6764508389999999], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586765
Position: [0.0, 0.0, 99.907996503525], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.7439879475], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.586929
Position: [0.0, 0.0, 99.8928717044], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.81149628], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.587105
Position: [0.0, 0.0, 99.87662176639999], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.8789732204999999], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.587297
Position: [0.0, 0.0, 99.859247212725], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -0.9464166435], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.587502
Position: [0.0, 0.0, 99.84074860199999], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.01382426], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.587721
Position: [0.0, 0.0, 99.82112653099999], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.0811936175], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.587955
Position: [0.0, 0.0, 99.800381637375], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.1485229175], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.5882
Position: [0.0, 0.0, 99.77851458875], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.2158093805], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.588462
Position: [0.0, 0.0, 99.755526099075], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.2830505540000001], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.588739
Position: [0.0, 0.0, 99.731416923175], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.3502443125], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.589029
Position: [0.0, 0.0, 99.7061878513], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.4173878765], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.589336
Position: [0.0, 0.0, 99.679839720025], Rotation: [0.0, 0.0, 2.498329114789793], Velocity: [0.0, 0.0, -1.484479611], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.589653
