Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 0.1635], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.324275], Rotation: [25.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 2.7795], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.367875], Rotation: [27.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 2.943], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.4142], Rotation: [28.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.1065], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.46324999999999], Rotation: [30.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.27], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.515025], Rotation: [31.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.4335], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.569525], Rotation: [33.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.597], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.62675], Rotation: [34.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.7605], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.6867], Rotation: [36.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 3.924], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.749375], Rotation: [37.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.0875], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.814775], Rotation: [39.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.251], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.88289999999999], Rotation: [40.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.4145], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.95374999999999], Rotation: [42.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.578], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.02732499999999], Rotation: [43.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.7415], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.103625], Rotation: [45.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 4.905], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.18265], Rotation: [46.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.0685], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.2644], Rotation: [48.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.232], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.34887499999999], Rotation: [49.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.3955], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.43607499999999], Rotation: [51.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.559], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.52599999999998], Rotation: [52.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.7225], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.61864999999999], Rotation: [54.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 5.886], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.71402499999999], Rotation: [55.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.0495], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.812125], Rotation: [57.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.213], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.91295], Rotation: [58.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.3765], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.0165], Rotation: [60.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.54], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.12277499999999], Rotation: [61.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.7035], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.23177499999998], Rotation: [63.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 6.867], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.34349999999999], Rotation: [64.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.0305], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.45795], Rotation: [66.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.194], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.575125], Rotation: [67.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.3575], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.695025], Rotation: [69.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.521], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.81765], Rotation: [70.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.6845], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.943], Rotation: [72.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 7.848], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.071075], Rotation: [73.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.0115], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.20187499999999], Rotation: [75.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.175], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.33539999999999], Rotation: [76.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.338500000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.47165], Rotation: [78.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.502000000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.610625], Rotation: [79.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.665500000000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.752325], Rotation: [81.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.829000000000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 103.89675], Rotation: [82.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 8.992500000000005], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.0439], Rotation: [84.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.156000000000006], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.19377499999999], Rotation: [85.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.319500000000007], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.346375], Rotation: [87.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.483000000000008], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.5017], Rotation: [88.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.646500000000009], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.65975], Rotation: [90.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.81000000000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.820525], Rotation: [91.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 9.97350000000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.984025], Rotation: [93.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.137000000000011], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.15025], Rotation: [94.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.300500000000012], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.3192], Rotation: [96.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.464000000000013], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.49087499999999], Rotation: [97.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.627500000000014], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.665275], Rotation: [99.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.791000000000015], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.8424], Rotation: [100.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 10.954500000000015], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.02225], Rotation: [102.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.118000000000016], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.204825], Rotation: [103.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.281500000000017], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.390125], Rotation: [105.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.445000000000018], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.57815], Rotation: [106.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.608500000000019], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.76889999999999], Rotation: [108.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.77200000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.962375], Rotation: [109.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 11.93550000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.158575], Rotation: [111.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.099000000000022], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.3575], Rotation: [112.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.262500000000022], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.55915], Rotation: [114.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.426000000000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.763525], Rotation: [115.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.589500000000024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.970625], Rotation: [117.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.753000000000025], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 108.18045], Rotation: [118.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.916500000000026], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 108.393], Rotation: [120.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.080000000000027], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 108.608275], Rotation: [121.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.243500000000028], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 108.82627500000001], Rotation: [123.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.407000000000028], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 109.04700000000001], Rotation: [124.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.57050000000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 109.27045000000001], Rotation: [126.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.73400000000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 109.49662500000001], Rotation: [127.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.897500000000031], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 109.725525], Rotation: [129.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.061000000000032], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 109.95715], Rotation: [130.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.224500000000033], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 110.1915], Rotation: [132.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.388000000000034], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 110.42857500000001], Rotation: [133.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.551500000000035], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 110.66837500000001], Rotation: [135.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.715000000000035], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 110.91090000000001], Rotation: [136.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.878500000000036], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 111.15615000000001], Rotation: [138.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.042000000000037], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 111.40412500000001], Rotation: [139.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.205500000000038], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 111.654825], Rotation: [141.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.369000000000039], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 111.90825000000001], Rotation: [142.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.53250000000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 112.16440000000001], Rotation: [144.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.69600000000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 112.42327500000002], Rotation: [145.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.859500000000041], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 112.68487500000002], Rotation: [147.0, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.023000000000042], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 112.94920000000002], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.18650000000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 113.21625000000002], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.22085789000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.21014
Position: [0.0, 0.0, 113.48387263150002], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.25420208000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.20394
Position: [0.0, 0.0, 113.75205099950001], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.19491698000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.6374
Position: [0.0, 0.0, 114.01924128250002], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.13410936800004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.628088
Position: [0.0, 0.0, 114.28541810530002], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.07178463950004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.618809
Position: [0.0, 0.0, 114.55055618262503], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 16.007948680500043], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.609566
Position: [0.0, 0.0, 114.81463032730004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.942607704000043], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.600361
Position: [0.0, 0.0, 115.07761545570004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.875767596000044], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.591192
Position: [0.0, 0.0, 115.33948658230004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.807434406000043], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.58206
Position: [0.0, 0.0, 115.60021882240004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.737614510500043], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.572967
Position: [0.0, 0.0, 115.85978739757503], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.666314449500042], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.563914
Position: [0.0, 0.0, 116.11816763840004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.593540599500042], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.5549
Position: [0.0, 0.0, 116.37533498172503], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.519299991000041], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.545929
Position: [0.0, 0.0, 116.63126498157503], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.443599164000041], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.536998
Position: [0.0, 0.0, 116.88593330097503], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.366445639500041], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.528113
Position: [0.0, 0.0, 117.13931572830003], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.287846284500041], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.51927
Position: [0.0, 0.0, 117.39138816637504], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.207808129500041], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.51047
Position: [0.0, 0.0, 117.64212663520004], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.12633902250004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.501718
Position: [0.0, 0.0, 117.89150728557505], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 15.04344632100004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.493011
Position: [0.0, 0.0, 118.13950639092505], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.95913803650004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.484353
Position: [0.0, 0.0, 118.38610035820005], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.873421853500039], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.475742
Position: [0.0, 0.0, 118.63126572242506], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.72244731055004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0766083
Position: [0.0, 0.0, 118.87391484426756], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.57021723475004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0689292
Position: [0.0, 0.0, 119.11402679818006], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.41674418290004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0613269
Position: [0.0, 0.0, 119.35158086789507], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.26204144755004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0538059
Position: [0.0, 0.0, 119.58655655868756], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 14.106122321250039], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0463662
Position: [0.0, 0.0, 119.81893359737506], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.94899980225004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.039006
Position: [0.0, 0.0, 120.04869192741256], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.790687019600039], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0317261
Position: [0.0, 0.0, 120.27581171107256], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.631197494750039], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0245289
Position: [0.0, 0.0, 120.50027333598507], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.470544732800038], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0174143
Position: [0.0, 0.0, 120.72205741486508], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.308742418700039], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0103834
Position: [0.0, 0.0, 120.94114478851007], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 13.145804121315038], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.00343549
Position: [0.0, 0.0, 121.15751652386533], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.982304121315037], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0
Position: [0.0, 0.0, 121.37116325922058], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.818804121315036], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0
Position: [0.0, 0.0, 121.58208499457584], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.655304121315035], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0
Position: [0.0, 0.0, 121.79028172993108], Rotation: [148.5, 0.0, 3.9579745431651654], Velocity: [0.0, 0.0, 12.491804121315035], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.0
