Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.1336450635], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.182599
Position: [0.0, 0.0, 99.99232258227501], Rotation: [3.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.267283587], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.182639
Position: [0.0, 0.0, 99.985142855825], Rotation: [4.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.4009103385], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.182711
Position: [0.0, 0.0, 99.97573601685], Rotation: [6.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.5345199225], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.182816
Position: [0.0, 0.0, 99.964102351475], Rotation: [7.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.6681069435], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.182954
Position: [0.0, 0.0, 99.95024223575001], Rotation: [9.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.801666006], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.183125
Position: [0.0, 0.0, 99.93415613565001], Rotation: [10.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -0.935191878], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.183328
Position: [0.0, 0.0, 99.91584460435001], Rotation: [12.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.0686793275], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.183563
Position: [0.0, 0.0, 99.89530828222502], Rotation: [13.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.2021227955], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.183832
Position: [0.0, 0.0, 99.87254790230001], Rotation: [15.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.3355172135], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.184132
Position: [0.0, 0.0, 99.84756428207501], Rotation: [16.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.4688570225], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.184466
Position: [0.0, 0.0, 99.8203583317], Rotation: [18.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.6021369905], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.184832
Position: [0.0, 0.0, 99.79093104852501], Rotation: [19.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.735351722], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.185231
Position: [0.0, 0.0, 99.759283519825], Rotation: [21.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -1.868495985], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.185662
Position: [0.0, 0.0, 99.725416920075], Rotation: [22.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.001564384], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.186126
Position: [0.0, 0.0, 99.68933251367501], Rotation: [24.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.134551687], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.186622
Position: [0.0, 0.0, 99.65103165222502], Rotation: [25.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.2674524985], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.187151
Position: [0.0, 0.0, 99.61051577725001], Rotation: [27.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.4002615865], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.187712
Position: [0.0, 0.0, 99.56778641747502], Rotation: [28.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.5329735555], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.188306
Position: [0.0, 0.0, 99.52284519155002], Rotation: [30.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.6655833369999997], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.188931
Position: [0.0, 0.0, 99.47569380260002], Rotation: [31.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.7980852085], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.189591
Position: [0.0, 0.0, 99.42633404912502], Rotation: [33.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -2.930474265], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.190281
Position: [0.0, 0.0, 99.37476781137502], Rotation: [34.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.062745111], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.191004
Position: [0.0, 0.0, 99.32099705952503], Rotation: [36.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.194892351], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.19176
Position: [0.0, 0.0, 99.26502385367503], Rotation: [37.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.326910753], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.192548
Position: [0.0, 0.0, 99.20685034112503], Rotation: [39.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.4587950849999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.193368
Position: [0.0, 0.0, 99.14647875637503], Rotation: [40.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.5905399515], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.194221
Position: [0.0, 0.0, 99.08391142385003], Rotation: [42.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.722140284], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.195105
Position: [0.0, 0.0, 99.01915075245003], Rotation: [43.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.853590687], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.196022
Position: [0.0, 0.0, 98.95219924100003], Rotation: [45.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -3.9848859285000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.196971
Position: [0.0, 0.0, 98.88305947552503], Rotation: [46.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.1160207765], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.197952
Position: [0.0, 0.0, 98.81173412925003], Rotation: [48.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.2469901625], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.198964
Position: [0.0, 0.0, 98.73822595987502], Rotation: [49.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.377788691], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.200009
Position: [0.0, 0.0, 98.66253781502502], Rotation: [51.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.50841113], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.201086
Position: [0.0, 0.0, 98.58467262952502], Rotation: [52.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.638852084], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.202196
Position: [0.0, 0.0, 98.50463342812502], Rotation: [54.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.7691064845], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.203337
Position: [0.0, 0.0, 98.42242332005002], Rotation: [55.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -4.899169263], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.204509
Position: [0.0, 0.0, 98.33804549900002], Rotation: [57.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.029035024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.205714
Position: [0.0, 0.0, 98.25150324860002], Rotation: [58.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.158698535499999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.206951
Position: [0.0, 0.0, 98.16279993967501], Rotation: [60.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.2881548925], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.208218
Position: [0.0, 0.0, 98.07193902480002], Rotation: [61.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.4173986995], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.209518
Position: [0.0, 0.0, 97.97892404647502], Rotation: [63.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.546424888], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.210849
Position: [0.0, 0.0, 97.88375863167502], Rotation: [64.5, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.675228226], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.212212
Position: [0.0, 0.0, 97.78644649457502], Rotation: [66.0, 0.0, 3.2280173917000856], Velocity: [0.0, 0.0, -5.8038034815], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.213607
