Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.11816798999999997], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72274
Position: [0.0, 0.0, 99.9965194665], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.23632453499999995], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72267
Position: [0.0, 0.0, 99.99773320875], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.35447781], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72265
Position: [0.0, 0.0, 100.00091617225], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.47263599], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72268
Position: [0.0, 0.0, 100.00606843875], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.59080725], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72276
Position: [0.0, 0.0, 100.01319022625], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.7090014], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.7229
Position: [0.0, 0.0, 100.02228191625001], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.827226615], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72309
Position: [0.0, 0.0, 100.0333440265], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 0.945492705], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72334
Position: [0.0, 0.0, 100.04637723825], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.06380621], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72363
Position: [0.0, 0.0, 100.06138234175], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.1821769400000002], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72398
Position: [0.0, 0.0, 100.07836029075], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.3006130700000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72438
Position: [0.0, 0.0, 100.09731217525], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.4191244100000002], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72484
Position: [0.0, 0.0, 100.11823924875], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.5377175000000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72534
Position: [0.0, 0.0, 100.14114287375], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.6564021500000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.7259
Position: [0.0, 0.0, 100.16602457625], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.7751865350000002], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72651
Position: [0.0, 0.0, 100.19288601849999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 1.8940804650000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72718
Position: [0.0, 0.0, 100.22172902624999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.013092115], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.7279
Position: [0.0, 0.0, 100.25255556149999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.13222966], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72867
Position: [0.0, 0.0, 100.28536772249998], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.2515012750000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.72949
Position: [0.0, 0.0, 100.32016774374999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.3709167700000005], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.73037
Position: [0.0, 0.0, 100.35695802324999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.4904843200000006], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.7313
Position: [0.0, 0.0, 100.39574109524999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.6102137350000008], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.73229
Position: [0.0, 0.0, 100.43651965749999], Rotation: [0.0, 0.0, 3.7944931248481626], Velocity: [0.0, 0.0, 2.7301115550000006], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.73332
