Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.0077198159999999905], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952784
Position: [0.0, 0.0, 99.9944213364], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.015433091999999982], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952824
Position: [0.0, 0.0, 99.99143911819999], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.023139827999999973], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952864
Position: [0.0, 0.0, 99.98832845439999], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.03083953349999996], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952907
Position: [0.0, 0.0, 99.985089462175], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.038531717999999965], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952953
Position: [0.0, 0.0, 99.981722266875], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.04621670849999998], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.952997
Position: [0.0, 0.0, 99.9782269884], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.05389352399999997], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953047
Position: [0.0, 0.0, 99.97460376299999], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.06156216449999996], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953097
Position: [0.0, 0.0, 99.97085272692499], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.06922230299999996], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953149
Position: [0.0, 0.0, 99.96697402187499], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.07687361249999994], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953203
Position: [0.0, 0.0, 99.96296779499998], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.08451592949999995], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953258
Position: [0.0, 0.0, 99.95883419617498], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.09214876349999992], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953316
Position: [0.0, 0.0, 99.95457338344998], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.0997721144999999], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953374
Position: [0.0, 0.0, 99.95018551487499], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.1073853284999999], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953436
Position: [0.0, 0.0, 99.94567075939999], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.11498824199999991], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953499
Position: [0.0, 0.0, 99.9410292887], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.12258052799999991], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953564
Position: [0.0, 0.0, 99.9362612799], Rotation: [0.0, 0.0, 0.6618393024335244], Velocity: [0.0, 0.0, -0.13016185949999992], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.953631
