Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.132005322], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192628
Position: [0.0, 0.0, 99.9923499113], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.2640150585], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192601
Position: [0.0, 0.0, 99.985224660325], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.3960328065], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192552
Position: [0.0, 0.0, 99.97589911355], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.5280623265], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.19248
Position: [0.0, 0.0, 99.964373074775], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.660107052], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192387
Position: [0.0, 0.0, 99.950646290575], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.79217058], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192272
Position: [0.0, 0.0, 99.934718447575], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -0.9242565075], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.192135
Position: [0.0, 0.0, 99.91658917244999], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.056368268], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.191977
Position: [0.0, 0.0, 99.89625803464999], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.188509622], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.191796
Position: [0.0, 0.0, 99.87372454095], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.32068433], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.191592
Position: [0.0, 0.0, 99.84898813545], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.4528958255], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.191367
Position: [0.0, 0.0, 99.822048205025], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.5851477054999998], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.19112
Position: [0.0, 0.0, 99.7929040766], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.7174434035], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.190852
Position: [0.0, 0.0, 99.76155501987499], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.8497868435], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.19056
Position: [0.0, 0.0, 99.72800023914999], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -1.982181459], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.190247
Position: [0.0, 0.0, 99.69223888149999], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.1146306835], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.189913
Position: [0.0, 0.0, 99.65427003677499], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.247138441], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.189555
Position: [0.0, 0.0, 99.61409272942498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.3797081650000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.189176
Position: [0.0, 0.0, 99.57170592667498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.5123434525], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.188775
Position: [0.0, 0.0, 99.52710853579998], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.6450479005000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.188352
Position: [0.0, 0.0, 99.48029940412498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.7778251060000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.187907
Position: [0.0, 0.0, 99.43127731902497], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -2.9106786660000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.18744
Position: [0.0, 0.0, 99.38004100792497], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.043612341], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.18695
Position: [0.0, 0.0, 99.32658913557498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.1766297280000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.186438
Position: [0.0, 0.0, 99.27092030677498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.3097342605000004], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.185905
Position: [0.0, 0.0, 99.21303306909998], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.4429296990000005], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.185349
Position: [0.0, 0.0, 99.15292590744998], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.5762196405000006], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.184771
Position: [0.0, 0.0, 99.09059724677498], Rotation: [0.0, 0.0, 1.9369080498014184], Velocity: [0.0, 0.0, -3.7096076820000006], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 0.184171
