Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.13914013500000003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85101
Position: [0.0, 0.0, 99.99686900225001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.27825411000000005], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85085
Position: [0.0, 0.0, 99.99878157075001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.41736318000000006], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85082
Position: [0.0, 0.0, 100.00301262375001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.556490235], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85093
Position: [0.0, 0.0, 100.00956246100002], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.6956581650000001], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85118
Position: [0.0, 0.0, 100.01843176375002], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.8348882250000002], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85156
Position: [0.0, 0.0, 100.02962156750002], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 0.9742016700000001], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85207
Position: [0.0, 0.0, 100.04313326200001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.113623025], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85273
Position: [0.0, 0.0, 100.05896864575001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.25317191], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85351
Position: [0.0, 0.0, 100.07712984425001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.392871215], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85443
Position: [0.0, 0.0, 100.0976193645], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.53274383], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85549
Position: [0.0, 0.0, 100.120440095], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.67281101], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85668
Position: [0.0, 0.0, 100.14559527850001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.81309401], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.858
Position: [0.0, 0.0, 100.173088512], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 1.95361572], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.85946
Position: [0.0, 0.0, 100.20292377400001], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.09439903], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.86106
Position: [0.0, 0.0, 100.2351054245], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.23546683], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.8628
Position: [0.0, 0.0, 100.269638205], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.376840375], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.86467
Position: [0.0, 0.0, 100.30652721125], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.51854092], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.86667
Position: [0.0, 0.0, 100.34577789325], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.66059299], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.86882
Position: [0.0, 0.0, 100.38739610975], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.80301784], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.8711
Position: [0.0, 0.0, 100.43138807375], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 2.9458383599999998], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.87352
Position: [0.0, 0.0, 100.47776037975], Rotation: [0.0, 0.0, 4.821271774308299], Velocity: [0.0, 0.0, 3.089075805], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 1.87607
