Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.1635], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 99.997275], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.327], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.0], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.49050000000000005], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.00545], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.654], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.01362499999999], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.8175], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.024525], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 0.981], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.03815], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.1445], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.0545], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.308], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.073575], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.4715], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.095375], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.635], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.1199], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.7985], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.14715], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 1.962], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.17712499999999], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 2.1255], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.209825], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 2.289], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.24525], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 2.4525], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.2834], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 2.616], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.324275], Rotation: [0.0, 0.0, 1.0802156327882457], Velocity: [0.0, 0.0, 2.7795], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
