Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.12307298999999997], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75274
Position: [0.0, 0.0, 99.9966012165], Rotation: [3.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.24614597999999993], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75274
Position: [0.0, 0.0, 99.9979786495], Rotation: [4.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.3692189699999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75274
Position: [0.0, 0.0, 100.001407299], Rotation: [6.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.49229195999999986], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75274
Position: [0.0, 0.0, 100.006887165], Rotation: [7.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.6153649499999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75274
Position: [0.0, 0.0, 100.01441824749999], Rotation: [9.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.7384395749999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75275
Position: [0.0, 0.0, 100.02400057374999], Rotation: [10.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.8615158349999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75276
Position: [0.0, 0.0, 100.03563417099998], Rotation: [12.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 0.9845937299999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75277
Position: [0.0, 0.0, 100.04931906649999], Rotation: [13.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.1076732599999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75278
Position: [0.0, 0.0, 100.06505528749999], Rotation: [15.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.2307560599999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.7528
Position: [0.0, 0.0, 100.08284288849998], Rotation: [16.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.3538421299999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75282
Position: [0.0, 0.0, 100.10268192399998], Rotation: [18.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.4769314699999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75284
Position: [0.0, 0.0, 100.12457244849998], Rotation: [19.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.6000240799999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75286
Position: [0.0, 0.0, 100.14851451649997], Rotation: [21.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.7231215949999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75289
Position: [0.0, 0.0, 100.17450820974997], Rotation: [22.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.84622238], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75291
Position: [0.0, 0.0, 100.20255358274997], Rotation: [24.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 1.96932807], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75294
Position: [0.0, 0.0, 100.23265071724997], Rotation: [25.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.0924403], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75298
Position: [0.0, 0.0, 100.26479972224996], Rotation: [27.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.215557435], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75301
Position: [0.0, 0.0, 100.29900067949995], Rotation: [28.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.33868111], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75305
Position: [0.0, 0.0, 100.33525369799996], Rotation: [30.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.461811325], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75309
Position: [0.0, 0.0, 100.37355888674996], Rotation: [31.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.58494808], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75313
Position: [0.0, 0.0, 100.41391635474996], Rotation: [33.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.7080930100000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75318
Position: [0.0, 0.0, 100.45632623824996], Rotation: [34.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.83124448], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75322
Position: [0.0, 0.0, 100.50078864624996], Rotation: [36.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 2.954404125], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75327
Position: [0.0, 0.0, 100.54730371499996], Rotation: [37.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.07757358], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75333
Position: [0.0, 0.0, 100.59587160799995], Rotation: [39.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.20075121], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75338
Position: [0.0, 0.0, 100.64649246149996], Rotation: [40.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.32393865], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75344
Position: [0.0, 0.0, 100.69916643899997], Rotation: [42.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.4471359], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.7535
Position: [0.0, 0.0, 100.75389370399996], Rotation: [43.5, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.57034296], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75356
Position: [0.0, 0.0, 100.81067441999997], Rotation: [45.0, 0.0, 5.850386009007704], Velocity: [0.0, 0.0, 3.69355983], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.75362
