Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.07318031100000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.552414
Position: [0.0, 0.0, 99.99333032815001], Rotation: [3.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.14632988400000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.552602
Position: [0.0, 0.0, 99.98816649675001], Rotation: [4.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.21943531200000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.552872
Position: [0.0, 0.0, 99.98178424155002], Rotation: [6.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.292482534], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.553228
Position: [0.0, 0.0, 99.97418453265001], Rotation: [7.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.36545797950000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.553667
Position: [0.0, 0.0, 99.96536856632501], Rotation: [9.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.438347751], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.554191
Position: [0.0, 0.0, 99.95533777047501], Rotation: [10.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.5111384415], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.554797
Position: [0.0, 0.0, 99.94409379645], Rotation: [12.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.5838161534999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.555488
Position: [0.0, 0.0, 99.931638527225], Rotation: [13.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.6563673164999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.556262
Position: [0.0, 0.0, 99.91797407195], Rotation: [15.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.72877836], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.557119
Position: [0.0, 0.0, 99.90310276595], Rotation: [16.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.8010357134999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.558059
Position: [0.0, 0.0, 99.88702717072499], Rotation: [18.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.8731254794999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.559084
Position: [0.0, 0.0, 99.86975007939999], Rotation: [19.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -0.9450342509999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.560191
Position: [0.0, 0.0, 99.85127450854999], Rotation: [21.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.0167486209999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.56138
Position: [0.0, 0.0, 99.8316036982], Rotation: [22.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.0882550189999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.562652
Position: [0.0, 0.0, 99.81074111455], Rotation: [24.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.1595402014999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.564005
Position: [0.0, 0.0, 99.788690444525], Rotation: [25.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.2305904344999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.565442
Position: [0.0, 0.0, 99.76545560395], Rotation: [27.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.3013924744999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.56696
Position: [0.0, 0.0, 99.741040729375], Rotation: [28.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.3719329144999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.56856
Position: [0.0, 0.0, 99.7154501808], Rotation: [30.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.442198838], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.570239
Position: [0.0, 0.0, 99.6886885335], Rotation: [31.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.5121766745], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.572001
Position: [0.0, 0.0, 99.660760588925], Rotation: [33.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.581853344], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.573843
Position: [0.0, 0.0, 99.631671366525], Rotation: [34.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.651215603], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.575766
Position: [0.0, 0.0, 99.601426106475], Rotation: [36.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.7202505350000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.577768
Position: [0.0, 0.0, 99.570030264225], Rotation: [37.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.7889448965], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.579851
Position: [0.0, 0.0, 99.53748951595], Rotation: [39.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.8572859345000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.582012
Position: [0.0, 0.0, 99.503809750375], Rotation: [40.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.9252607325000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.584252
Position: [0.0, 0.0, 99.4689970715], Rotation: [42.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -1.9928563740000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.586571
Position: [0.0, 0.0, 99.4330577986], Rotation: [43.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.0600602695], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.588967
Position: [0.0, 0.0, 99.395998460775], Rotation: [45.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.1268598295000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.59144
Position: [0.0, 0.0, 99.35782579695001], Rotation: [46.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.1932421375000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.593992
Position: [0.0, 0.0, 99.31854676132501], Rotation: [48.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.2591947675000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.59662
Position: [0.0, 0.0, 99.27816851520001], Rotation: [49.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.3247054570000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.599323
Position: [0.0, 0.0, 99.23669842425001], Rotation: [51.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.3897616165000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.602103
Position: [0.0, 0.0, 99.194144063975], Rotation: [52.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.4543508200000006], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.604959
Position: [0.0, 0.0, 99.150513216975], Rotation: [54.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.5184612955000008], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.607887
Position: [0.0, 0.0, 99.10581386205], Rotation: [55.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.582080617000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.610891
Position: [0.0, 0.0, 99.0600541851], Rotation: [57.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.6451970125000006], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.613967
Position: [0.0, 0.0, 99.013242568225], Rotation: [58.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.7077983830000005], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.617117
Position: [0.0, 0.0, 98.965387595175], Rotation: [60.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.7698727930000007], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.62034
Position: [0.0, 0.0, 98.916498048625], Rotation: [61.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.8314084705000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.623635
Position: [0.0, 0.0, 98.86658290745], Rotation: [63.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.8923939705000006], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.627
Position: [0.0, 0.0, 98.815651341275], Rotation: [64.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -2.9528176845000007], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.630436
Position: [0.0, 0.0, 98.7637127132], Rotation: [66.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -3.0126681675000007], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.633942
Position: [0.0, 0.0, 98.710776577075], Rotation: [67.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -3.0719341380000005], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.637517
Position: [0.0, 0.0, 98.656852674775], Rotation: [69.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -3.1306041510000004], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.641162
Position: [0.0, 0.0, 98.601950938925], Rotation: [70.5, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -3.1886674155000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.644873
Position: [0.0, 0.0, 98.546081482], Rotation: [72.0, 0.0, 2.7151924935393947], Velocity: [0.0, 0.0, -3.24611265], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 0.648653
