Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.10700584500000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65447
Position: [0.0, 0.0, 99.99633343075], Rotation: [3.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.21400842000000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65445
Position: [0.0, 0.0, 99.99717523775], Rotation: [4.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.32100936], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65444
Position: [0.0, 0.0, 99.99980039375], Rotation: [6.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.428011935], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65445
Position: [0.0, 0.0, 100.00420892599999], Rotation: [7.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.53501778], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65447
Position: [0.0, 0.0, 100.010400889], Rotation: [9.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.642030165], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65451
Position: [0.0, 0.0, 100.01837639175], Rotation: [10.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.74905236], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65457
Position: [0.0, 0.0, 100.02813559775], Rotation: [12.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.856086], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65464
Position: [0.0, 0.0, 100.03967869774999], Rotation: [13.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 0.963134355], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65473
Position: [0.0, 0.0, 100.053005937], Rotation: [15.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.070200695], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65484
Position: [0.0, 0.0, 100.06811761524999], Rotation: [16.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.177286655], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65496
Position: [0.0, 0.0, 100.08501405949998], Rotation: [18.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.284395505], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.6551
Position: [0.0, 0.0, 100.10369565124998], Rotation: [19.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.391530515], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65526
Position: [0.0, 0.0, 100.12416282649998], Rotation: [21.0, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.4986933199999999], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65543
Position: [0.0, 0.0, 100.14641604849999], Rotation: [22.5, 0.0, 0.7349907522928019], Velocity: [0.0, 0.0, 1.6058871899999998], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.65562
